id,type,od,numbering,lon,lat,speed,direction,3rd_mesh,date_time
335600065581,1,2,7767,138.121933,36.292883,52,91,54383059,2024-01-06T05:18:23
335600065581,1,2,7768,138.122083,36.292883,52,90,54383059,2024-01-06T05:18:24
371200101644,1,2,4661,,,,,54371776,2024-01-06T05:18:24
335600065581,1,2,7769,138.12225,36.292883,52,90,54383059,2024-01-06T05:18:25
335600065581,1,2,7770,138.122416,36.292883,53,88,54383059,2024-01-06T05:18:26
335600065581,1,2,7771,138.122583,36.2929,53,88,54383059,2024-01-06T05:18:27
335600065581,1,2,7772,138.122733,36.292916,52,86,54383059,2024-01-06T05:18:28
335600065581,1,2,7773,138.1229,36.292933,53,85,54383059,2024-01-06T05:18:29
335600065581,1,2,7774,138.123033,36.29295,53,85,54383059,2024-01-06T05:18:30
335600065581,1,2,7775,138.1232,36.292966,54,82,54383059,2024-01-06T05:18:31
335600065581,1,2,7776,138.123366,36.292983,54,82,54383059,2024-01-06T05:18:32
335600065581,1,2,7777,138.123516,36.293,54,80,54383059,2024-01-06T05:18:33
335600065581,1,2,7778,138.123666,36.293033,53,80,54383059,2024-01-06T05:18:34
335600065581,1,2,7779,138.123816,36.29305,51,80,54383059,2024-01-06T05:18:35
335600065581,1,2,7780,138.123966,36.293083,51,78,54383059,2024-01-06T05:18:36
335600065581,1,2,7781,138.124116,36.2931,52,77,54383059,2024-01-06T05:18:37
354600095896,1,2,14722,,,,,54372741,2024-01-06T05:18:37
335600065581,1,2,7782,138.124266,36.293133,51,77,54383059,2024-01-06T05:18:38
335600065581,1,2,7783,138.124416,36.293166,53,75,54383059,2024-01-06T05:18:39
448400053788,1,2,11551,,,,,54372711,2024-01-06T05:18:39
335600065581,1,2,7784,138.124583,36.2932,52,75,54383059,2024-01-06T05:18:40
335600065581,1,2,7785,138.124716,36.29325,53,74,54383059,2024-01-06T05:18:41
335600065581,1,2,7786,138.124866,36.293283,53,72,54383059,2024-01-06T05:18:42
28000084704,1,2,3813,137.938983,35.860316,89,27,53376735,2024-01-06T05:19:00
28000106564,1,2,26218,138.175316,35.974016,86,160,53387164,2024-01-06T05:19:00
669800112690,1,2,2419,137.045533,35.0415,,213,52374043,2024-01-06T05:19:00
291300127200,1,2,2743,139.2007,36.355783,80,266,54394126,2024-01-06T05:19:00
540500055916,1,2,2262,135.745683,34.95505,49,181,52353549,2024-01-06T05:19:00
737000133649,1,2,2175,138.00345,34.7606,0,54,52381010,2024-01-06T05:19:00
516300086091,1,2,274,138.838216,35.606233,91,277,53383627,2024-01-06T05:19:00
146500109292,1,2,2266,137.908516,35.712116,,94,53374752,2024-01-06T05:19:00
423100122660,1,2,5383,139.141716,36.261266,53,104,54393111,2024-01-06T05:19:00
262100030745,1,2,2151,137.797416,35.503133,90,203,53372603,2024-01-06T05:19:00
